,default_cat,pdays_cat,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job,marital,education,housing,loan,contact,month,day_of_week,poutcome,age,campaign,previous
13181,no,0,1.4,93.918,-42.7,4.962,5228.1,admin.,married,high.school,yes,no,cellular,jul,wed,nonexistent,30,1,0
26159,unknown|yes,0,-0.1,93.2,-42.0,4.12,5195.8,management,married,university.degree,no,no,cellular,nov,wed,nonexistent,48,3,0
16975,no,0,1.4,93.918,-42.7,4.962,5228.1,blue-collar,married,high.school,yes,yes,cellular,jul,thu,nonexistent,41,6,0
29510,no,11,-1.8,93.075,-47.1,1.405,5099.1,admin.,single,university.degree,yes,no,cellular,apr,mon,success,43,4,1
6374,unknown|yes,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,basic.9y,yes,no,telephone,may,tue,nonexistent,36,3,0
32618,no,0,-1.8,92.893,-46.2,1.299,5099.1,admin.,single,university.degree,no,no,cellular,may,mon,nonexistent,26,4,0
39569,no,3,-1.8,93.876,-40.0,0.668,5008.7,admin.,married,high.school,yes,no,cellular,may,tue,success,39,1,2
11470,no,0,1.4,94.465,-41.8,4.959,5228.1,housemaid,married,high.school,no,yes,telephone,jun,fri,nonexistent,37,1,0
6714,unknown|yes,0,1.1,93.994,-36.4,4.857,5191.0,technician,married,professional.course,yes,yes,telephone,may,wed,nonexistent,50,1,0
15617,unknown|yes,0,1.4,93.918,-42.7,4.96,5228.1,housemaid,divorced,basic.9y,no,no,cellular,jul,mon,nonexistent,52,2,0
37226,no,0,-2.9,92.201,-31.4,0.881,5076.2,unemployed,single,university.degree,yes,no,cellular,aug,fri,failure,32,1,1
3476,no,0,1.1,93.994,-36.4,4.86,5191.0,blue-collar,married,basic.9y,yes,no,telephone,may,thu,nonexistent,34,4,0
38446,no,0,-3.4,92.431,-26.9,0.73,5017.5,admin.,married,high.school,yes,no,cellular,oct,fri,failure,64,1,1
6281,no,0,1.1,93.994,-36.4,4.857,5191.0,technician,married,professional.course,no,no,telephone,may,tue,nonexistent,29,1,0
5954,no,0,1.1,93.994,-36.4,4.857,5191.0,housemaid,married,basic.9y,no,no,telephone,may,tue,nonexistent,38,4,0
17826,no,0,1.4,93.918,-42.7,4.961,5228.1,technician,divorced,professional.course,yes,no,cellular,jul,tue,nonexistent,44,2,0
34235,no,0,-1.8,92.893,-46.2,1.266,5099.1,blue-collar,single,basic.9y,no,no,cellular,may,thu,nonexistent,32,2,0
39086,no,6,-3.0,92.713,-33.0,0.706,5023.5,retired,married,university.degree,yes,no,cellular,dec,wed,success,62,1,1
31988,unknown|yes,0,-1.8,92.893,-46.2,1.327,5099.1,blue-collar,married,basic.9y,no,no,cellular,may,thu,nonexistent,33,2,0
3780,no,0,1.1,93.994,-36.4,4.859,5191.0,services,single,high.school,no,no,telephone,may,fri,nonexistent,33,1,0
13166,no,0,1.4,93.918,-42.7,4.962,5228.1,management,married,university.degree,no,no,cellular,jul,wed,nonexistent,51,1,0
11974,no,0,1.4,94.465,-41.8,4.958,5228.1,blue-collar,married,basic.9y,yes,no,telephone,jun,wed,nonexistent,36,1,0
36712,no,0,-2.9,92.963,-40.8,1.268,5076.2,admin.,single,high.school,no,no,cellular,jun,fri,nonexistent,34,2,0
483,unknown|yes,0,1.1,93.994,-36.4,4.857,5191.0,admin.,married,university.degree,yes,no,telephone,may,tue,nonexistent,49,1,0
13240,no,0,1.4,93.918,-42.7,4.962,5228.1,blue-collar,divorced,basic.4y,yes,no,cellular,jul,wed,nonexistent,45,1,0
1381,unknown|yes,0,1.1,93.994,-36.4,4.855,5191.0,blue-collar,single,basic.9y,no,no,telephone,may,thu,nonexistent,38,2,0
39136,no,0,-1.8,93.369,-34.8,0.655,5008.7,admin.,divorced,professional.course,yes,no,cellular,mar,tue,nonexistent,31,1,0
2282,no,0,1.1,93.994,-36.4,4.856,5191.0,management,single,university.degree,no,no,telephone,may,tue,nonexistent,46,1,0
35703,no,0,-1.8,92.893,-46.2,1.244,5099.1,admin.,married,university.degree,yes,no,cellular,may,mon,nonexistent,29,2,0
6088,unknown|yes,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,basic.4y,yes,yes,telephone,may,tue,nonexistent,44,1,0
11793,no,0,1.4,94.465,-41.8,4.959,5228.1,admin.,married,basic.9y,no,yes,telephone,jun,fri,nonexistent,36,3,0
10502,no,0,1.4,94.465,-41.8,4.961,5228.1,services,married,university.degree,no,no,telephone,jun,tue,nonexistent,54,2,0
12342,no,0,1.4,93.918,-42.7,4.959,5228.1,admin.,married,university.degree,no,no,telephone,jul,fri,nonexistent,45,1,0
32575,no,0,-1.8,92.893,-46.2,1.299,5099.1,services,divorced,professional.course,no,no,cellular,may,mon,failure,43,6,1
9280,unknown|yes,0,1.4,94.465,-41.8,4.967,5228.1,entrepreneur,married,university.degree,yes,no,telephone,jun,fri,nonexistent,37,8,0
35697,no,0,-1.8,92.893,-46.2,1.244,5099.1,services,single,high.school,yes,yes,cellular,may,mon,failure,27,3,1
12147,no,0,1.4,93.918,-42.7,4.955,5228.1,admin.,married,high.school,no,no,telephone,jul,tue,nonexistent,28,1,0
29091,no,0,-1.8,93.075,-47.1,1.405,5099.1,management,married,university.degree,no,yes,cellular,apr,fri,nonexistent,39,2,0
33382,no,10,-1.8,92.893,-46.2,1.291,5099.1,blue-collar,married,basic.9y,no,no,cellular,may,tue,success,48,1,1
40321,no,0,-1.7,94.027,-38.3,0.898,4991.6,services,single,high.school,yes,no,cellular,aug,mon,failure,33,2,1
26941,no,0,-0.1,93.2,-42.0,4.076,5195.8,admin.,single,university.degree,yes,yes,cellular,nov,thu,failure,33,4,1
12760,unknown|yes,0,1.4,93.918,-42.7,4.962,5228.1,services,married,basic.4y,no,no,cellular,jul,tue,nonexistent,56,1,0
19643,no,0,1.4,93.444,-36.1,4.968,5228.1,admin.,married,university.degree,yes,no,cellular,aug,thu,nonexistent,33,1,0
15384,no,0,1.4,93.918,-42.7,4.957,5228.1,technician,single,professional.course,yes,no,cellular,jul,fri,nonexistent,29,3,0
34779,no,0,-1.8,92.893,-46.2,1.266,5099.1,technician,single,high.school,no,no,cellular,may,thu,failure,29,4,1
38319,no,6,-3.4,92.431,-26.9,0.74,5017.5,admin.,single,university.degree,yes,no,telephone,oct,thu,success,33,3,2
18305,no,0,1.4,93.918,-42.7,4.963,5228.1,services,married,professional.course,no,no,cellular,jul,wed,nonexistent,33,7,0
16318,no,0,1.4,93.918,-42.7,4.961,5228.1,services,single,high.school,no,no,cellular,jul,tue,nonexistent,25,3,0
12250,unknown|yes,0,1.4,93.918,-42.7,4.966,5228.1,technician,single,university.degree,yes,yes,telephone,jul,thu,nonexistent,38,1,0
10040,no,0,1.4,94.465,-41.8,4.958,5228.1,admin.,single,high.school,no,no,telephone,jun,thu,nonexistent,39,4,0
6290,no,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,basic.9y,no,yes,telephone,may,tue,nonexistent,30,5,0
18959,no,0,1.4,93.444,-36.1,4.97,5228.1,technician,married,university.degree,yes,no,cellular,aug,mon,nonexistent,32,1,0
39022,no,0,-3.0,92.713,-33.0,0.714,5023.5,unemployed,divorced,high.school,no,no,cellular,dec,thu,nonexistent,51,2,0
16828,unknown|yes,0,1.4,93.918,-42.7,4.962,5228.1,admin.,married,basic.4y,no,no,cellular,jul,thu,nonexistent,59,1,0
26008,no,0,-0.1,93.2,-42.0,4.12,5195.8,admin.,married,university.degree,no,no,cellular,nov,wed,nonexistent,43,2,0
13689,no,0,1.4,93.918,-42.7,4.963,5228.1,admin.,single,high.school,no,no,cellular,jul,thu,nonexistent,32,1,0
36910,no,0,-2.9,92.963,-40.8,1.215,5076.2,admin.,single,university.degree,yes,no,cellular,jun,mon,nonexistent,42,3,0
27747,no,0,-1.8,92.843,-50.0,1.757,5099.1,management,married,basic.6y,yes,no,cellular,mar,thu,nonexistent,44,3,0
7357,no,0,1.1,93.994,-36.4,4.864,5191.0,blue-collar,married,basic.9y,no,no,telephone,may,fri,nonexistent,47,7,0
5333,no,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,basic.9y,no,yes,telephone,may,fri,nonexistent,28,2,0
26234,no,0,-0.1,93.2,-42.0,4.076,5195.8,services,single,basic.6y,no,no,cellular,nov,thu,nonexistent,40,1,0
11618,unknown|yes,0,1.4,94.465,-41.8,4.959,5228.1,self-employed,single,basic.9y,no,no,telephone,jun,fri,nonexistent,56,2,0
30227,no,5,-1.8,93.075,-47.1,1.365,5099.1,self-employed,married,university.degree,yes,no,cellular,apr,thu,success,71,2,1
607,unknown|yes,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,basic.4y,no,yes,telephone,may,tue,nonexistent,53,2,0
5421,no,0,1.1,93.994,-36.4,4.857,5191.0,admin.,married,basic.9y,yes,no,telephone,may,fri,nonexistent,51,5,0
36369,no,0,-2.9,92.963,-40.8,1.262,5076.2,admin.,single,university.degree,no,no,cellular,jun,tue,nonexistent,25,1,0
15351,no,0,1.4,93.918,-42.7,4.957,5228.1,admin.,single,university.degree,yes,no,cellular,jul,fri,nonexistent,35,1,0
10899,no,0,1.4,94.465,-41.8,4.962,5228.1,entrepreneur,single,professional.course,no,no,telephone,jun,wed,nonexistent,35,1,0
35651,no,0,-1.8,92.893,-46.2,1.244,5099.1,admin.,single,high.school,yes,no,cellular,may,mon,nonexistent,30,1,0
32807,unknown|yes,0,-1.8,92.893,-46.2,1.299,5099.1,blue-collar,married,basic.9y,yes,no,cellular,may,mon,failure,44,2,1
14276,no,0,1.4,93.918,-42.7,4.962,5228.1,blue-collar,married,high.school,no,yes,cellular,jul,mon,nonexistent,35,4,0
37462,no,0,-2.9,92.201,-31.4,0.873,5076.2,unemployed,married,university.degree,no,no,cellular,aug,thu,nonexistent,36,1,0
18251,no,0,1.4,93.918,-42.7,4.963,5228.1,admin.,single,high.school,yes,yes,cellular,jul,wed,nonexistent,24,3,0
10990,no,0,1.4,94.465,-41.8,4.962,5228.1,technician,divorced,university.degree,yes,no,telephone,jun,wed,nonexistent,48,3,0
36160,no,0,-1.8,92.893,-46.2,1.27,5099.1,self-employed,married,university.degree,no,no,cellular,may,wed,nonexistent,26,2,0
20754,no,0,1.4,93.444,-36.1,4.965,5228.1,self-employed,single,university.degree,no,no,telephone,aug,wed,nonexistent,33,4,0
4196,no,0,1.1,93.994,-36.4,4.858,5191.0,admin.,married,high.school,no,no,telephone,may,mon,nonexistent,31,8,0
39211,no,0,-1.8,93.369,-34.8,0.652,5008.7,self-employed,single,university.degree,yes,no,cellular,mar,mon,nonexistent,33,2,0
38191,no,0,-3.4,92.431,-26.9,0.744,5017.5,retired,married,university.degree,yes,yes,cellular,oct,tue,failure,82,1,1
20068,no,0,1.4,93.444,-36.1,4.965,5228.1,admin.,married,university.degree,yes,no,cellular,aug,mon,nonexistent,43,2,0
33103,no,0,-1.8,92.893,-46.2,1.291,5099.1,housemaid,single,university.degree,yes,no,cellular,may,tue,nonexistent,27,9,0
18985,no,0,1.4,93.444,-36.1,4.97,5228.1,unemployed,married,university.degree,yes,no,cellular,aug,mon,nonexistent,45,3,0
30183,no,0,-1.8,93.075,-47.1,1.365,5099.1,technician,divorced,university.degree,yes,no,cellular,apr,thu,nonexistent,40,1,0
10982,no,0,1.4,94.465,-41.8,4.962,5228.1,technician,divorced,professional.course,yes,no,telephone,jun,wed,nonexistent,29,19,0
10810,unknown|yes,0,1.4,94.465,-41.8,4.962,5228.1,housemaid,married,university.degree,yes,no,telephone,jun,wed,nonexistent,42,5,0
14750,unknown|yes,0,1.4,93.918,-42.7,4.957,5228.1,blue-collar,married,basic.9y,yes,no,telephone,jul,wed,nonexistent,33,1,0
35288,no,0,-1.8,92.893,-46.2,1.25,5099.1,services,single,high.school,no,no,cellular,may,fri,nonexistent,25,2,0
14278,no,0,1.4,93.918,-42.7,4.962,5228.1,retired,married,university.degree,yes,yes,cellular,jul,mon,nonexistent,57,4,0
7430,no,0,1.1,93.994,-36.4,4.864,5191.0,admin.,married,university.degree,yes,yes,telephone,may,fri,nonexistent,30,1,0
12107,unknown|yes,0,1.4,94.465,-41.8,4.947,5228.1,blue-collar,married,basic.6y,no,no,telephone,jun,mon,nonexistent,40,3,0
31533,no,0,-1.8,92.893,-46.2,1.327,5099.1,blue-collar,married,basic.9y,no,no,telephone,may,thu,nonexistent,35,1,0
25211,no,0,-0.1,93.2,-42.0,4.153,5195.8,self-employed,married,basic.4y,yes,yes,cellular,nov,tue,failure,53,2,1
19090,no,0,1.4,93.444,-36.1,4.968,5228.1,admin.,married,university.degree,yes,no,cellular,aug,tue,nonexistent,59,1,0
16174,no,0,1.4,93.918,-42.7,4.961,5228.1,blue-collar,divorced,university.degree,yes,no,cellular,jul,tue,nonexistent,35,3,0
32313,unknown|yes,0,-1.8,92.893,-46.2,1.313,5099.1,blue-collar,married,university.degree,no,no,cellular,may,fri,failure,55,2,2
22812,no,0,1.4,93.444,-36.1,4.965,5228.1,technician,married,professional.course,no,no,cellular,aug,mon,nonexistent,40,9,0
26224,no,0,-0.1,93.2,-42.0,4.076,5195.8,unemployed,single,university.degree,yes,no,cellular,nov,thu,nonexistent,37,1,0
14618,no,0,1.4,93.918,-42.7,4.961,5228.1,admin.,divorced,high.school,yes,no,cellular,jul,tue,nonexistent,39,5,0
17474,no,0,1.4,93.918,-42.7,4.962,5228.1,admin.,divorced,university.degree,no,no,telephone,jul,mon,nonexistent,51,1,0
22929,no,0,1.4,93.444,-36.1,4.965,5228.1,admin.,single,university.degree,yes,no,cellular,aug,mon,nonexistent,33,4,0
21382,no,0,1.4,93.444,-36.1,4.963,5228.1,admin.,married,university.degree,no,no,cellular,aug,tue,nonexistent,27,4,0
39271,no,0,-1.8,93.369,-34.8,0.646,5008.7,technician,married,professional.course,yes,yes,cellular,mar,mon,failure,53,1,1
5117,unknown|yes,0,1.1,93.994,-36.4,4.857,5191.0,management,married,basic.4y,no,no,telephone,may,fri,nonexistent,47,1,0
35521,unknown|yes,0,-1.8,92.893,-46.2,1.244,5099.1,blue-collar,married,basic.9y,yes,no,cellular,may,mon,nonexistent,52,1,0
27324,no,0,-0.1,93.2,-42.0,4.021,5195.8,admin.,married,university.degree,yes,no,cellular,nov,fri,failure,47,1,1
24937,no,0,-0.1,93.2,-42.0,4.153,5195.8,admin.,divorced,university.degree,no,no,cellular,nov,tue,nonexistent,30,1,0
10727,no,0,1.4,94.465,-41.8,4.961,5228.1,retired,married,basic.4y,no,no,telephone,jun,tue,nonexistent,56,3,0
38262,no,0,-3.4,92.431,-26.9,0.742,5017.5,unemployed,married,high.school,no,yes,cellular,oct,tue,nonexistent,33,1,0
35493,no,0,-1.8,92.893,-46.2,1.244,5099.1,admin.,married,university.degree,no,no,cellular,may,mon,failure,31,1,1
10728,no,0,1.4,94.465,-41.8,4.961,5228.1,blue-collar,married,basic.9y,yes,no,telephone,jun,tue,nonexistent,26,3,0
28011,no,0,-1.8,93.075,-47.1,1.483,5099.1,admin.,married,university.degree,no,no,cellular,apr,thu,nonexistent,30,1,0
7701,no,0,1.1,93.994,-36.4,4.864,5191.0,services,divorced,high.school,yes,no,telephone,may,fri,nonexistent,57,2,0
15950,unknown|yes,0,1.4,93.918,-42.7,4.96,5228.1,technician,married,professional.course,no,no,cellular,jul,mon,nonexistent,55,2,0
1310,no,0,1.1,93.994,-36.4,4.855,5191.0,technician,single,university.degree,yes,no,telephone,may,thu,nonexistent,37,1,0
36074,no,0,-1.8,92.893,-46.2,1.266,5099.1,technician,married,professional.course,yes,no,cellular,may,tue,nonexistent,32,1,0
20845,no,0,1.4,93.444,-36.1,4.964,5228.1,technician,single,professional.course,no,no,cellular,aug,thu,nonexistent,33,1,0
24538,no,0,-0.1,93.2,-42.0,4.191,5195.8,admin.,married,high.school,yes,yes,cellular,nov,mon,nonexistent,34,1,0
7913,no,0,1.4,94.465,-41.8,4.865,5228.1,technician,married,high.school,yes,no,telephone,jun,mon,nonexistent,52,1,0
32397,no,0,-1.8,92.893,-46.2,1.313,5099.1,management,single,high.school,yes,no,cellular,may,fri,failure,35,2,1
18115,no,0,1.4,93.918,-42.7,4.963,5228.1,housemaid,single,high.school,yes,no,cellular,jul,wed,nonexistent,31,4,0
3051,unknown|yes,0,1.1,93.994,-36.4,4.859,5191.0,entrepreneur,married,high.school,no,yes,telephone,may,wed,nonexistent,39,7,0
6751,no,0,1.1,93.994,-36.4,4.857,5191.0,housemaid,married,basic.4y,yes,no,telephone,may,wed,nonexistent,46,8,0
36305,no,0,-2.9,92.963,-40.8,1.266,5076.2,student,single,high.school,yes,no,cellular,jun,mon,nonexistent,28,2,0
8716,no,0,1.4,94.465,-41.8,4.864,5228.1,technician,married,professional.course,yes,yes,telephone,jun,wed,nonexistent,27,2,0
5391,no,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,basic.4y,yes,no,telephone,may,fri,nonexistent,35,4,0
28603,no,0,-1.8,93.075,-47.1,1.415,5099.1,student,single,high.school,no,no,cellular,apr,wed,nonexistent,25,1,0
506,no,0,1.1,93.994,-36.4,4.857,5191.0,technician,single,university.degree,no,no,telephone,may,tue,nonexistent,40,3,0
35187,unknown|yes,0,-1.8,92.893,-46.2,1.25,5099.1,blue-collar,married,basic.9y,no,no,cellular,may,fri,nonexistent,51,1,0
10789,no,0,1.4,94.465,-41.8,4.961,5228.1,admin.,divorced,high.school,no,no,telephone,jun,tue,nonexistent,44,4,0
2137,unknown|yes,0,1.1,93.994,-36.4,4.857,5191.0,unemployed,married,basic.9y,no,no,telephone,may,mon,nonexistent,38,2,0
27389,no,0,-0.1,93.2,-42.0,4.021,5195.8,management,married,university.degree,no,no,cellular,nov,fri,nonexistent,32,2,0
33567,no,0,-1.8,92.893,-46.2,1.291,5099.1,services,divorced,basic.9y,no,no,cellular,may,tue,nonexistent,36,5,0
26095,no,0,-0.1,93.2,-42.0,4.12,5195.8,entrepreneur,married,university.degree,yes,no,cellular,nov,wed,nonexistent,44,2,0
9099,unknown|yes,0,1.4,94.465,-41.8,4.967,5228.1,blue-collar,married,high.school,no,no,telephone,jun,fri,nonexistent,46,3,0
24386,no,0,-0.1,93.2,-42.0,4.191,5195.8,blue-collar,married,basic.9y,yes,yes,cellular,nov,mon,failure,50,1,1
8277,unknown|yes,0,1.4,94.465,-41.8,4.864,5228.1,management,married,basic.4y,yes,no,telephone,jun,tue,nonexistent,47,3,0
20931,unknown|yes,0,1.4,93.444,-36.1,4.964,5228.1,technician,married,university.degree,yes,no,cellular,aug,thu,nonexistent,34,2,0
35820,unknown|yes,0,-1.8,92.893,-46.2,1.244,5099.1,blue-collar,married,university.degree,no,no,cellular,may,mon,nonexistent,43,6,0
11380,no,0,1.4,94.465,-41.8,4.959,5228.1,services,divorced,basic.4y,yes,no,telephone,jun,fri,nonexistent,47,6,0
4366,no,0,1.1,93.994,-36.4,4.856,5191.0,admin.,single,university.degree,no,no,telephone,may,tue,nonexistent,42,3,0
8853,unknown|yes,0,1.4,94.465,-41.8,4.866,5228.1,blue-collar,married,basic.4y,no,no,telephone,jun,thu,nonexistent,43,1,0
3753,no,0,1.1,93.994,-36.4,4.859,5191.0,management,married,university.degree,no,no,telephone,may,fri,nonexistent,41,1,0
26778,unknown|yes,0,-0.1,93.2,-42.0,4.076,5195.8,blue-collar,married,basic.9y,yes,no,cellular,nov,thu,nonexistent,33,1,0
12349,no,0,1.4,93.918,-42.7,4.959,5228.1,services,single,high.school,yes,no,telephone,jul,fri,nonexistent,30,3,0
16729,no,0,1.4,93.918,-42.7,4.963,5228.1,services,single,basic.6y,yes,no,cellular,jul,wed,nonexistent,29,3,0
21194,unknown|yes,0,1.4,93.444,-36.1,4.963,5228.1,services,married,basic.4y,no,no,cellular,aug,mon,nonexistent,49,2,0
36399,no,0,-2.9,92.963,-40.8,1.262,5076.2,unemployed,married,professional.course,yes,yes,cellular,jun,tue,nonexistent,30,1,0
15915,unknown|yes,0,1.4,93.918,-42.7,4.96,5228.1,services,divorced,high.school,yes,no,cellular,jul,mon,nonexistent,35,3,0
10514,no,0,1.4,94.465,-41.8,4.961,5228.1,management,divorced,university.degree,yes,no,telephone,jun,tue,nonexistent,54,1,0
176,no,0,1.1,93.994,-36.4,4.857,5191.0,services,married,high.school,yes,yes,telephone,may,mon,nonexistent,44,1,0
35237,no,0,-1.8,92.893,-46.2,1.25,5099.1,services,single,high.school,yes,no,cellular,may,fri,nonexistent,30,11,0
33741,no,0,-1.8,92.893,-46.2,1.281,5099.1,admin.,divorced,university.degree,yes,no,telephone,may,wed,nonexistent,33,1,0
10510,unknown|yes,0,1.4,94.465,-41.8,4.961,5228.1,entrepreneur,married,professional.course,yes,no,telephone,jun,tue,nonexistent,47,1,0
9200,no,0,1.4,94.465,-41.8,4.967,5228.1,entrepreneur,married,university.degree,yes,no,telephone,jun,fri,nonexistent,26,3,0
26065,no,0,-0.1,93.2,-42.0,4.12,5195.8,management,married,university.degree,yes,no,cellular,nov,wed,nonexistent,34,2,0
6691,no,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,basic.4y,yes,no,telephone,may,wed,nonexistent,34,6,0
14226,no,0,1.4,93.918,-42.7,4.962,5228.1,services,divorced,high.school,no,no,cellular,jul,mon,nonexistent,43,3,0
35910,no,0,-1.8,92.893,-46.2,1.264,5099.1,admin.,single,university.degree,no,no,cellular,may,mon,failure,24,1,1
30248,no,0,-1.8,93.075,-47.1,1.365,5099.1,technician,married,professional.course,yes,no,cellular,apr,thu,nonexistent,34,2,0
22041,no,0,1.4,93.444,-36.1,4.964,5228.1,technician,married,professional.course,no,no,cellular,aug,wed,nonexistent,32,4,0
37425,no,0,-2.9,92.201,-31.4,0.879,5076.2,retired,married,basic.9y,yes,no,cellular,aug,wed,failure,66,3,2
37484,no,0,-2.9,92.201,-31.4,0.873,5076.2,admin.,married,university.degree,no,no,cellular,aug,thu,failure,36,2,1
6628,no,0,1.1,93.994,-36.4,4.857,5191.0,admin.,married,professional.course,no,no,telephone,may,wed,nonexistent,38,2,0
32638,no,0,-1.8,92.893,-46.2,1.299,5099.1,blue-collar,married,basic.9y,yes,no,cellular,may,mon,failure,30,1,1
20157,no,0,1.4,93.444,-36.1,4.965,5228.1,technician,married,professional.course,yes,yes,cellular,aug,mon,nonexistent,33,1,0
3711,no,0,1.1,93.994,-36.4,4.859,5191.0,blue-collar,single,university.degree,no,no,telephone,may,fri,nonexistent,29,2,0
21095,no,0,1.4,93.444,-36.1,4.964,5228.1,technician,married,university.degree,yes,no,cellular,aug,thu,nonexistent,35,2,0
24738,unknown|yes,0,-0.1,93.2,-42.0,4.153,5195.8,technician,married,professional.course,yes,no,cellular,nov,tue,failure,56,1,1
24548,no,0,-0.1,93.2,-42.0,4.191,5195.8,technician,married,professional.course,yes,no,cellular,nov,mon,nonexistent,48,1,0
30525,no,0,-1.8,92.893,-46.2,1.354,5099.1,student,single,university.degree,no,yes,cellular,may,mon,nonexistent,31,3,0
13940,unknown|yes,0,1.4,93.918,-42.7,4.963,5228.1,services,single,high.school,no,no,cellular,jul,fri,nonexistent,34,2,0
20169,no,0,1.4,93.444,-36.1,4.965,5228.1,technician,single,professional.course,yes,yes,cellular,aug,mon,nonexistent,37,1,0
26865,no,0,-0.1,93.2,-42.0,4.076,5195.8,admin.,single,university.degree,no,yes,cellular,nov,thu,nonexistent,31,1,0
36260,no,0,-2.9,92.963,-40.8,1.266,5076.2,blue-collar,married,basic.9y,no,no,cellular,jun,mon,nonexistent,30,1,0
38434,no,0,-3.4,92.431,-26.9,0.733,5017.5,admin.,single,university.degree,no,no,cellular,oct,thu,nonexistent,31,1,0
7554,no,0,1.1,93.994,-36.4,4.864,5191.0,technician,married,university.degree,no,no,telephone,may,fri,nonexistent,59,2,0
19614,unknown|yes,0,1.4,93.444,-36.1,4.968,5228.1,blue-collar,married,basic.4y,no,yes,cellular,aug,thu,nonexistent,56,1,0
38043,no,0,-3.4,92.379,-29.8,0.773,5017.5,retired,married,university.degree,yes,no,cellular,sep,fri,nonexistent,69,8,0
24620,no,0,-0.1,93.2,-42.0,4.191,5195.8,technician,single,professional.course,no,no,cellular,nov,mon,nonexistent,36,2,0
25674,unknown|yes,0,-0.1,93.2,-42.0,4.12,5195.8,admin.,single,basic.4y,no,no,cellular,nov,wed,nonexistent,48,2,0
33245,no,0,-1.8,92.893,-46.2,1.291,5099.1,blue-collar,single,high.school,yes,no,cellular,may,tue,failure,32,1,1
36967,no,0,-2.9,92.469,-33.6,1.072,5076.2,technician,single,university.degree,yes,no,cellular,jul,thu,nonexistent,38,1,0
8282,unknown|yes,0,1.4,94.465,-41.8,4.864,5228.1,blue-collar,married,basic.6y,no,no,telephone,jun,tue,nonexistent,38,1,0
41170,no,0,-1.1,94.767,-50.8,1.03,4963.6,management,divorced,university.degree,yes,no,cellular,nov,wed,failure,40,2,4
25310,no,0,-0.1,93.2,-42.0,4.153,5195.8,management,single,high.school,no,yes,cellular,nov,tue,nonexistent,30,2,0
26991,no,0,-0.1,93.2,-42.0,4.076,5195.8,blue-collar,married,basic.6y,yes,no,cellular,nov,thu,nonexistent,45,3,0
26750,unknown|yes,0,-0.1,93.2,-42.0,4.076,5195.8,blue-collar,divorced,basic.4y,no,no,cellular,nov,thu,nonexistent,42,6,0
6988,no,0,1.1,93.994,-36.4,4.86,5191.0,entrepreneur,married,basic.4y,yes,no,telephone,may,thu,nonexistent,43,1,0
12980,no,0,1.4,93.918,-42.7,4.962,5228.1,blue-collar,married,basic.6y,yes,no,cellular,jul,tue,nonexistent,30,1,0
23661,no,0,1.4,93.444,-36.1,4.962,5228.1,admin.,single,university.degree,yes,yes,telephone,aug,thu,nonexistent,30,9,0
2085,no,0,1.1,93.994,-36.4,4.857,5191.0,management,married,university.degree,yes,no,telephone,may,mon,nonexistent,42,1,0
16469,no,0,1.4,93.918,-42.7,4.963,5228.1,blue-collar,single,basic.6y,no,no,telephone,jul,wed,nonexistent,24,1,0
1400,unknown|yes,0,1.1,93.994,-36.4,4.855,5191.0,blue-collar,married,basic.4y,no,no,telephone,may,thu,nonexistent,44,1,0
30578,no,0,-1.8,92.893,-46.2,1.354,5099.1,housemaid,single,university.degree,no,yes,cellular,may,mon,nonexistent,35,4,0
32413,no,0,-1.8,92.893,-46.2,1.313,5099.1,technician,married,professional.course,yes,no,cellular,may,fri,nonexistent,35,5,0
20808,unknown|yes,0,1.4,93.444,-36.1,4.965,5228.1,retired,married,basic.9y,yes,no,cellular,aug,wed,nonexistent,46,3,0
9076,no,0,1.4,94.465,-41.8,4.866,5228.1,blue-collar,divorced,high.school,no,yes,telephone,jun,thu,nonexistent,42,7,0
30074,no,0,-1.8,93.075,-47.1,1.4,5099.1,blue-collar,single,basic.9y,yes,no,cellular,apr,fri,nonexistent,28,2,0
32731,no,0,-1.8,92.893,-46.2,1.299,5099.1,admin.,married,university.degree,yes,no,cellular,may,mon,nonexistent,31,1,0
9308,unknown|yes,0,1.4,94.465,-41.8,4.967,5228.1,housemaid,married,basic.4y,yes,no,telephone,jun,fri,nonexistent,49,2,0
8732,no,0,1.4,94.465,-41.8,4.864,5228.1,blue-collar,married,basic.4y,yes,no,telephone,jun,wed,nonexistent,37,2,0
25423,no,0,-0.1,93.2,-42.0,4.12,5195.8,blue-collar,married,basic.4y,yes,no,cellular,nov,wed,nonexistent,30,2,0
35916,no,0,-1.8,92.893,-46.2,1.264,5099.1,housemaid,married,basic.4y,no,no,cellular,may,mon,nonexistent,58,1,0
29509,no,0,-1.8,93.075,-47.1,1.405,5099.1,technician,single,university.degree,yes,no,cellular,apr,mon,nonexistent,29,2,0
7061,no,0,1.1,93.994,-36.4,4.86,5191.0,technician,divorced,high.school,yes,no,telephone,may,thu,nonexistent,28,1,0
